,cif_id,accessible_surface_area
0,pcu+N680+E33,5670.19384765625
1,pcu+N483+E32,5563.04833984375
2,pcu+N406+E32,4692.49365234375
3,pcu+N47+E33,5714.83740234375
4,pcu+N214+E33,5612.15673828125
5,pcu+N680+E32,5286.25634765625
6,pcu+N16+E32,5002.76806640625
7,pcu+N162+E33,5665.72900390625
8,pcu+N341+E33,5605.4599609375
9,pcu+N222+E32,5438.04541015625
10,pcu+N392+E33,5688.05126953125
11,pcu+N613+E32,5542.95849609375
12,pcu+N613+E33,5732.69482421875
13,pcu+N668+E32,5277.32763671875
14,pcu+N148+E33,5609.92431640625
15,pcu+N540+E33,5496.08251953125
16,pcu+N678+E33,5549.6552734375
17,pcu+N483+E33,5719.3017578125
18,pcu+N595+E33,5688.05126953125
19,pcu+N694+E33,5603.22802734375
20,pcu+N274+E33,5661.2646484375
21,pcu+N180+E33,5813.0537109375
22,pcu+N85+E32,5482.689453125
23,pcu+N598+E33,5574.20947265625
24,pcu+N559+E33,5683.5869140625
25,pcu+N167+E32,4875.533203125
26,pcu+N234+E32,5286.25634765625
27,pcu+N222+E33,5679.12255859375
28,pcu+N274+E32,5464.83203125
29,pcu+N234+E33,5679.12255859375
30,pcu+N628+E33,5799.66064453125
31,pcu+N180+E32,5060.80517578125
32,pcu+N559+E32,5252.7734375
33,pcu+N678+E32,5607.6923828125
34,pcu+N47+E32,5446.974609375
35,pcu+N295+E33,5719.3017578125
36,pcu+N694+E32,4984.91064453125
37,pcu+N657+E33,5417.9560546875
38,pcu+N240+E33,5359.9189453125
39,pcu+N574+E33,5777.3388671875
40,pcu+N213+E33,5656.80029296875
0,dia+N267+E24,6326.4580078125
1,dia+N310+E3,6192.52685546875
2,dia+N697+E23,6161.27587890625
3,dia+N515+E35,6263.95703125
4,dia+N310+E24,6255.02783203125
5,dia+N649+E21,6241.634765625
6,dia+N161+E21,6036.2734375
7,dia+N697+E24,6299.671875
8,dia+N515+E23,6353.24462890625
9,dia+N697+E47,6161.27587890625
10,dia+N697+E35,6130.025390625
11,dia+N697+E21,6143.41845703125
12,dia+N161+E38,5955.9140625
13,dia+N161+E34,6156.8115234375
14,dia+N697+E34,6103.23876953125
15,dia+N649+E3,6179.13330078125
16,dia+N76+E24,6188.0625
17,dia+N649+E23,6009.48681640625
18,dia+N161+E47,6116.63232421875
19,dia+N76+E3,6237.17041015625
20,dia+N310+E23,6125.56103515625
21,dia+N515+E47,6219.31298828125
22,dia+N310+E34,6232.7060546875
23,dia+N515+E24,6353.24462890625
24,dia+N310+E47,6188.0625
25,dia+N267+E38,5848.76904296875
26,dia+N267+E21,6116.63232421875
27,dia+N76+E34,6210.38427734375
28,dia+N76+E23,6241.634765625
29,dia+N649+E35,6214.8486328125
30,dia+N515+E21,6263.95703125
31,dia+N649+E24,6183.59814453125
32,dia+N267+E34,6098.7744140625
33,dia+N649+E34,6196.9912109375
34,dia+N267+E23,6237.17041015625
35,dia+N161+E24,6281.814453125
36,dia+N267+E3,5933.59228515625
37,dia+N267+E35,6147.8828125
38,dia+N697+E3,6183.59814453125
39,dia+N76+E21,6130.025390625
40,dia+N515+E3,6317.529296875
41,dia+N649+E47,6272.8857421875
42,dia+N76+E35,6286.27880859375
43,dia+N310+E35,6205.919921875
44,dia+N310+E21,6196.9912109375
45,dia+N515+E34,6237.17041015625
46,dia+N161+E3,6250.5634765625
47,dia+N76+E47,6232.7060546875
48,dia+N492+E23,6130.025390625
49,dia+N161+E35,6210.38427734375
50,dia+N267+E47,6161.27587890625
0,acs+N489+E59,5616.62109375
1,acs+N481+E7,5241.61279296875
2,acs+N481+E39,5857.69775390625
3,acs+N574+E194,5826.447265625
4,acs+N553+E22,5741.6240234375
5,acs+N125+E59,5112.1455078125
6,acs+N489+E194,5292.953125
7,acs+N553+E9,5605.4599609375
8,acs+N553+E7,5518.404296875
9,acs+N628+E1,5246.0771484375
10,acs+N125+E36,5391.16943359375
11,acs+N574+E36,5192.50439453125
12,acs+N481+E59,5063.03759765625
13,acs+N481+E10,5817.5185546875
14,acs+N481+E33,5315.27490234375
15,acs+N628+E33,5234.916015625
16,acs+N125+E39,5933.59228515625
17,acs+N481+E28,5467.06396484375
18,acs+N628+E225,5518.404296875
19,acs+N574+E9,5402.33056640625
20,acs+N628+E10,5857.69775390625
21,acs+N125+E7,5210.36181640625
22,acs+N125+E194,5234.916015625
23,acs+N489+E121,5263.9345703125
24,acs+N481+E4,5228.2197265625
25,acs+N553+E225,5426.884765625
26,acs+N198+E28,5732.69482421875
27,acs+N628+E22,5270.63134765625
28,acs+N481+E9,5489.38623046875
29,acs+N628+E36,5118.84228515625
30,acs+N553+E1,5612.15673828125
31,acs+N553+E36,5404.5625
32,acs+N489+E225,5281.7919921875
33,acs+N553+E121,5500.546875
34,acs+N489+E39,5612.15673828125
35,acs+N489+E229,5549.6552734375
36,acs+N198+E1,5755.01708984375
37,acs+N125+E22,5277.32763671875
38,acs+N198+E33,5435.8134765625
39,acs+N553+E59,5638.94287109375
40,acs+N489+E4,5228.2197265625
41,acs+N125+E33,5458.13525390625
42,acs+N481+E194,5484.921875
43,acs+N553+E4,5531.7978515625
44,acs+N574+E4,5188.0400390625
45,acs+N489+E10,5884.48388671875
46,acs+N198+E4,5371.07958984375
47,acs+N574+E10,6143.41845703125
48,acs+N481+E225,5295.18505859375
49,acs+N125+E10,5696.97998046875
50,acs+N481+E22,5172.41455078125
51,acs+N574+E7,5614.388671875
52,acs+N574+E39,5386.705078125
53,acs+N628+E121,5297.41748046875
54,acs+N481+E36,5089.82373046875
55,acs+N125+E4,5299.64990234375
56,acs+N481+E121,5315.27490234375
57,acs+N198+E22,5357.6865234375
58,acs+N198+E59,5464.83203125
59,acs+N628+E28,5306.34619140625
60,acs+N198+E7,5364.38330078125
61,acs+N489+E1,5223.7548828125
62,acs+N553+E28,5674.658203125
63,acs+N553+E39,5862.162109375
64,acs+N481+E229,5634.478515625
65,acs+N628+E4,4857.67578125
66,acs+N198+E121,5359.9189453125
67,acs+N489+E22,5208.1298828125
68,acs+N125+E229,4817.49609375
69,acs+N489+E9,5525.10107421875
70,acs+N553+E10,6112.16796875
71,acs+N628+E194,5464.83203125
72,acs+N574+E33,5424.65234375
73,acs+N574+E121,5545.19091796875
