,cif_id,accessible_volume_volume_fraction
0,pcu+N475+E135,0.7570050954818726
1,pcu+N475+E226,0.4708341062068939
2,pcu+N475+E89,0.4238290786743164
3,pcu+N135+E226,0.3522024154663086
4,pcu+N226+E135,0.8266173601150513
5,pcu+N226+E89,0.5987269282341003
6,pcu+N135+E89,0.3880157470703125
0,rtl+N176+N475,0.36003655195236206
1,rtl+N277+N475,0.3439205586910248
2,rtl+N277+N612,0.4741916060447693
3,rtl+N225+N475,0.34291332960128784
4,rtl+N277+N240,0.39305198192596436
5,rtl+N495+N382,0.37592875957489014
6,rtl+N130+N659,0.38320332765579224
0,cds+N575+N688,0.3439205586910248
1,cds+N688+E89,0.45913881063461304
2,cds+N688+N575,0.36193913221359253
0,bcu+N175+E79,0.49769410490989685
1,bcu+N175+E226,0.4323347508907318
2,bcu+N615+E89,0.34022730588912964
3,bcu+N120+E89,0.35287392139434814
4,bcu+N374+E79,0.4337896704673767
5,bcu+N369+E89,0.3811888098716736
6,bcu+N331+E226,0.3927162289619446
7,bcu+N121+E115,0.40760117769241333
8,bcu+N217+E79,0.40860843658447266
9,bcu+N120+E115,0.4026768207550049
10,bcu+N331+E89,0.3633940815925598
11,bcu+N21+E226,0.4599222242832184
12,bcu+N217+E115,0.40010273456573486
13,bcu+N374+E115,0.3965214192867279
14,bcu+N21+E115,0.4864464998245239
15,bcu+N615+E226,0.4407844543457031
16,bcu+N615+E115,0.4011099934577942
17,bcu+N369+E226,0.4369233548641205
18,bcu+N369+E79,0.5106484889984131
19,bcu+N217+E89,0.3623868227005005
20,bcu+N175+E115,0.4768216609954834
21,bcu+N363+E89,0.31840354204177856
22,bcu+N374+E89,0.36305832862854004
23,bcu+N363+E79,0.4108467698097229
24,bcu+N21+E89,0.44917821884155273
25,bcu+N149+E226,0.4480031132698059
26,bcu+N149+E115,0.4367554783821106
27,bcu+N120+E79,0.41330891847610474
28,bcu+N121+E226,0.3819722533226013
29,bcu+N175+E89,0.3750334084033966
30,bcu+N615+E79,0.3763763904571533
31,bcu+N331+E79,0.39417117834091187
32,bcu+N67+E226,0.40905606746673584
33,bcu+N67+E79,0.43904978036880493
34,bcu+N363+E226,0.3704448342323303
35,bcu+N149+E79,0.4134208559989929
36,bcu+N67+E115,0.4136446714401245
37,bcu+N121+E79,0.443974107503891
38,bcu+N21+E79,0.49408480525016785
39,bcu+N374+E226,0.36977332830429077
40,bcu+N331+E115,0.40883225202560425
41,bcu+N217+E226,0.3807411789894104
42,bcu+N149+E89,0.39305198192596436
43,bcu+N120+E226,0.3679826557636261
44,bcu+N369+E115,0.4951759874820709
45,bcu+N363+E115,0.37189972400665283
0,fsc+N62+N155,0.4398331642150879
1,fsc+N4+N155,0.5275338888168335
2,fsc+N1+N155,0.5912284851074219
3,fsc+N13+N155,0.6011051535606384
4,fsc+N62+N106,0.34459206461906433
5,fsc+N223+N155,0.44582071900367737
6,fsc+N522+N155,0.4239410161972046
7,fsc+N399+N155,0.5723985433578491
8,fsc+N564+N155,0.5001562833786011
9,fsc+N597+N155,0.5479018688201904
10,fsc+N202+N155,0.5548415780067444
11,fsc+N575+N155,0.4810744822025299
12,fsc+N91+N155,0.6158221960067749
