,cif_id,hydrogen_uptake_100bar_77K
0,pcu+N250+E64,534.3466796875
1,pcu+N308+E146,558.0676879882812
2,pcu+N475+E20,514.501708984375
3,pcu+N205+E2,493.7962341308594
4,pcu+N666+E126,524.3931884765625
5,pcu+N30+E3,494.7109680175781
6,pcu+N41+E69,464.95123291015625
7,pcu+N180+E196,460.0364990234375
8,pcu+N139+E51,351.431640625
9,pcu+N598+E4,525.66455078125
10,pcu+N77+E6,504.1916198730469
11,pcu+N182+E6,512.9822998046875
12,pcu+N590+E82,504.1916198730469
13,pcu+N483+E178,524.0521240234375
14,pcu+N314+E1,474.1295471191406
15,pcu+N116+E4,530.5327758789062
16,pcu+N552+E108,523.8660888671875
17,pcu+N577+E91,502.1063232421875
18,pcu+N341+E33,511.0288391113281
19,pcu+N30+E2,467.15277099609375
20,pcu+N379+E67,499.3466491699219
21,pcu+N55+E106,458.2845458984375
22,pcu+N33+E220,573.9436645507812
23,pcu+N146+E64,526.377685546875
24,pcu+N680+E222,520.5172119140625
25,pcu+N657+E52,565.5095825195312
26,pcu+N162+E203,502.8427734375
27,pcu+N41+E48,485.7593994140625
28,pcu+N180+E64,502.85052490234375
29,pcu+N509+E136,565.6956176757812
30,pcu+N486+E12,483.4357604980469
31,pcu+N384+E45,563.5250854492188
32,pcu+N486+E180,543.4940185546875
33,pcu+N394+E131,474.68768310546875
34,pcu+N518+E226,386.2843933105469
35,pcu+N264+E28,490.6315002441406
36,pcu+N540+E106,503.3001403808594
37,pcu+N529+E212,534.9978637695312
38,pcu+N152+E198,523.3389282226562
39,pcu+N691+E141,574.8739013671875
40,pcu+N135+E106,508.78076171875
41,pcu+N568+E33,497.02105712890625
42,pcu+N694+E57,590.5638427734375
43,pcu+N467+E205,534.7188110351562
44,pcu+N167+E121,483.1993103027344
45,pcu+N220+E198,514.9822998046875
46,pcu+N65+E88,502.5094299316406
47,pcu+N678+E47,478.1683044433594
48,pcu+N668+E47,506.78076171875
49,pcu+N265+E205,481.23419189453125
50,pcu+N334+E12,510.2071228027344
51,pcu+N334+E126,528.5792846679688
52,pcu+N221+E216,562.0366821289062
53,pcu+N341+E2,491.8737487792969
54,pcu+N480+E15,555.2149658203125
55,pcu+N613+E82,491.8892517089844
56,pcu+N394+E180,479.431884765625
57,pcu+N55+E52,575.0599365234375
58,pcu+N65+E118,513.4629516601562
59,pcu+N608+E152,509.3388977050781
60,pcu+N373+E87,512.0520629882812
61,pcu+N628+E31,488.746337890625
62,pcu+N568+E106,481.04815673828125
63,pcu+N643+E161,484.4260559082031
64,pcu+N205+E36,491.7109680175781
65,pcu+N341+E73,558.9359130859375
66,pcu+N392+E151,574.6878662109375
67,pcu+N668+E159,558.3157348632812
68,pcu+N234+E106,487.92120361328125
69,pcu+N30+E83,489.1722106933594
70,pcu+N425+E69,525.1683959960938
71,pcu+N560+E198,509.47845458984375
72,pcu+N674+E64,478.56365966796875
73,pcu+N475+E38,536.1141357421875
74,pcu+N30+E43,496.183837890625
75,pcu+N59+E151,569.4165649414062
76,pcu+N694+E97,517.4164428710938
77,pcu+N694+E98,552.734375
78,pcu+N509+E114,541.974609375
79,pcu+N646+E95,513.7885131835938
80,pcu+N691+E170,502.99005126953125
81,pcu+N274+E25,590.9359741210938
82,pcu+N30+E141,518.8893432617188
83,pcu+N274+E69,592.7964477539062
84,pcu+N101+E25,512.966796875
85,pcu+N493+E173,477.3233337402344
86,pcu+N595+E161,463.7729187011719
87,pcu+N518+E2,472.3853454589844
88,pcu+N101+E89,309.385009765625
89,pcu+N465+E78,554.5327758789062
90,pcu+N394+E72,548.7653198242188
91,pcu+N240+E69,427.8348693847656
92,pcu+N108+E6,510.7652587890625
93,pcu+N274+E34,505.2923889160156
94,pcu+N182+E171,459.6954040527344
95,pcu+N373+E33,468.1295166015625
96,pcu+N438+E36,504.65673828125
0,dia+N307+E108,562.6568603515625
1,dia+N305+E108,557.385498046875
2,dia+N2+E108,526.7808227539062
3,dia+N515+E108,557.385498046875
4,dia+N434+E108,563.7731323242188
5,dia+N435+E108,517.91259765625
6,dia+N76+E108,555.0909423828125
7,dia+N115+E108,571.5870971679688
8,dia+N385+E108,570.7808837890625
9,dia+N156+E108,562.4708251953125
10,dia+N215+E108,565.9436645507812
11,dia+N520+E108,556.765380859375
