,cif_id,solvent_removal_stability
0,pcu+N678+E87,Stable
1,pcu+N691+E107,Stable
2,pcu+N608+E5,Stable
3,pcu+N373+E47,Stable
4,pcu+N183+E134,Stable
5,pcu+N289+E28,Stable
6,pcu+N250+E222,Stable
7,pcu+N289+E34,Unstable
8,pcu+N504+E139,Unstable
9,pcu+N30+E114,Stable
10,pcu+N555+E90,Unstable
11,pcu+N167+E2,Stable
12,pcu+N234+E155,Stable
13,pcu+N144+E28,Stable
14,pcu+N180+E232,Unstable
15,pcu+N65+E67,Stable
16,pcu+N334+E121,Stable
17,pcu+N205+E12,Stable
18,pcu+N394+E66,Stable
19,pcu+N49+E10,Unstable
20,pcu+N240+E90,Stable
21,pcu+N556+E187,Stable
22,pcu+N657+E122,Stable
23,pcu+N162+E13,Stable
24,pcu+N36+E57,Stable
25,pcu+N577+E68,Stable
26,pcu+N425+E113,Unstable
27,pcu+N668+E196,Unstable
28,pcu+N489+E187,Stable
29,pcu+N341+E57,Stable
30,pcu+N183+E216,Stable
31,pcu+N384+E96,Stable
32,pcu+N668+E181,Stable
33,pcu+N612+E131,Stable
34,pcu+N521+E216,Stable
35,pcu+N148+E182,Unstable
36,pcu+N447+E184,Stable
37,pcu+N630+E166,Stable
38,pcu+N556+E175,Stable
39,pcu+N173+E201,Stable
40,pcu+N135+E34,Unstable
41,pcu+N250+E25,Stable
42,pcu+N309+E190,Stable
43,pcu+N668+E188,Unstable
44,pcu+N240+E2,Stable
45,pcu+N295+E215,Stable
46,pcu+N576+E193,Unstable
47,pcu+N508+E159,Stable
48,pcu+N453+E78,Stable
49,pcu+N152+E71,Stable
50,pcu+N392+E220,Unstable
51,pcu+N274+E163,Stable
52,pcu+N483+E88,Unstable
53,pcu+N491+E152,Stable
54,pcu+N394+E115,Stable
55,pcu+N560+E171,Stable
56,pcu+N504+E83,Unstable
57,pcu+N489+E104,Stable
58,pcu+N116+E69,Stable
59,pcu+N222+E171,Unstable
60,pcu+N328+E159,Unstable
61,pcu+N33+E116,Stable
62,pcu+N30+E4,Stable
63,pcu+N494+E9,Stable
64,pcu+N59+E128,Stable
65,pcu+N691+E225,Unstable
66,pcu+N162+E83,Stable
67,pcu+N555+E179,Stable
68,pcu+N630+E71,Stable
69,pcu+N314+E174,Stable
70,pcu+N264+E40,Stable
71,pcu+N480+E38,Stable
72,pcu+N148+E190,Unstable
73,pcu+N49+E184,Unstable
74,pcu+N139+E91,Stable
75,pcu+N690+E215,Unstable
76,pcu+N465+E80,Stable
77,pcu+N274+E203,Stable
78,pcu+N576+E26,Stable
79,pcu+N65+E131,Stable
80,pcu+N41+E234,Stable
81,pcu+N552+E34,Stable
82,pcu+N590+E108,Stable
83,pcu+N214+E158,Stable
84,pcu+N222+E17,Unstable
85,pcu+N314+E82,Stable
86,pcu+N274+E28,Stable
87,pcu+N548+E198,Stable
88,pcu+N453+E43,Stable
89,pcu+N612+E223,Stable
90,pcu+N314+E163,Stable
91,pcu+N180+E206,Stable
92,pcu+N394+E1,Stable
93,pcu+N613+E52,Stable
94,pcu+N438+E220,Stable
95,pcu+N55+E219,Stable
96,pcu+N143+E215,Unstable
97,pcu+N691+E218,Stable
98,pcu+N264+E131,Stable
99,pcu+N576+E212,Stable
100,pcu+N613+E107,Stable
101,pcu+N574+E42,Stable
102,pcu+N521+E5,Stable
103,pcu+N382+E102,Unstable
104,pcu+N101+E28,Unstable
105,pcu+N678+E95,Stable
106,pcu+N33+E89,Stable
107,pcu+N250+E220,Stable
108,pcu+N613+E118,Stable
109,pcu+N33+E233,Stable
110,pcu+N529+E64,Unstable
111,pcu+N509+E212,Stable
112,pcu+N152+E167,Stable
113,pcu+N486+E114,Stable
114,pcu+N265+E68,Stable
115,pcu+N37+E186,Stable
116,pcu+N465+E211,Unstable
117,pcu+N334+E98,Stable
118,pcu+N167+E95,Stable
119,pcu+N289+E149,Stable
120,pcu+N290+E132,Stable
121,pcu+N33+E73,Stable
122,pcu+N334+E39,Stable
123,pcu+N486+E137,Stable
124,pcu+N442+E115,Stable
125,pcu+N328+E1,Stable
126,pcu+N162+E34,Stable
127,pcu+N105+E50,Stable
128,pcu+N135+E155,Stable
129,pcu+N108+E71,Stable
130,pcu+N569+E128,Stable
131,pcu+N173+E70,Unstable
132,pcu+N339+E150,Unstable
133,pcu+N667+E16,Stable
134,pcu+N568+E102,Stable
135,pcu+N406+E216,Stable
136,pcu+N555+E47,Stable
137,pcu+N613+E134,Stable
138,pcu+N560+E12,Stable
139,pcu+N509+E68,Stable
140,pcu+N77+E228,Stable
141,pcu+N442+E98,Stable
142,pcu+N593+E159,Stable
143,pcu+N222+E177,Unstable
144,pcu+N54+E178,Stable
145,pcu+N428+E151,Stable
146,pcu+N691+E61,Unstable
147,pcu+N657+E32,Unstable
148,pcu+N234+E92,Unstable
149,pcu+N691+E198,Stable
150,pcu+N47+E33,Unstable
151,pcu+N274+E18,Stable
152,pcu+N264+E108,Stable
153,pcu+N182+E158,Stable
154,pcu+N49+E219,Unstable
155,pcu+N33+E195,Stable
156,pcu+N483+E141,Unstable
157,pcu+N505+E66,Unstable
158,pcu+N16+E233,Stable
159,pcu+N494+E113,Stable
160,pcu+N314+E135,Stable
161,pcu+N694+E119,Unstable
162,pcu+N438+E119,Stable
163,pcu+N555+E123,Unstable
164,pcu+N30+E178,Stable
165,pcu+N612+E147,Stable
166,pcu+N646+E153,Stable
167,pcu+N222+E142,Unstable
168,pcu+N480+E57,Stable
169,pcu+N205+E68,Stable
170,pcu+N576+E167,Unstable
