,name,Largest cavity diameter (?),Pore limiting diameter (?),Largest free pore diameter (?),Density (cm^3/g),Accessible Surface Area (m^2/cm^3),Accessible Surface Area (m^2/g),Nonaccessible Surface Area (m^2/cm^3),Nonaccessible surface area (m^2/g),Accessible volume volume fraction,Accessible Volume (cm^3/g),Nonaccessible Volume (cm^3/g),Metal type,Has open metal site,Type of open metal,Extension,overlap with Free solvent remove COREMOF,from CSD database,public,Has disorder,CSD_overlap_inCoRE,CSD_of_WoS_inCoRE,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE,,,,,,,,,,,,,,,,,,,,
15161,1499489-acs.cgd.6b01265_1499490_clean,10.85017,3.77263,10.26663,0.884188,1701.53,1924.4,0,0,0.6458,0.730388,0,Cu,No, ,clean,Y,N,Y,DISORDER,Y,UYICIQ,Y,"	01/10/2016",10.1021/acs.cgd.6b01265,"1 SI, 1 Structure",UYICIQ,,,,,,,,,,,,,,,,,,,,,
3,ABAVIJ_clean,4.45543,2.4972,4.40652,1.52493,0,0,312.052,204.633,0.3792,0.248667,0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ABAYIO_clean,11.39486,4.3226,11.27409,0.949126,1428.73,1505.31,409.494,431.444,0.6636,0.69917,0,Mn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ABAYOU_clean,11.27344,4.5108,11.27344,0.979267,1463.42,1494.4,419.062,427.935,0.6638,0.677854,0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ABEFUL_clean,4.93969,3.32948,4.93889,1.55108,418.49,269.806,0,0,0.4118,0.265493,0,Tb,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ABESUX_clean,5.87931,4.42492,5.57015,3.74291,1747.69,466.934,0,0,0.5646,0.150845,0,U,Yes,U,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ABETAE_clean,5.88295,4.42033,5.88295,3.69928,1821.75,492.461,0,0,0.572,0.154625,0,U,Yes,U,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ABETIN_clean,9.47418,7.83744,9.45292,0.597233,2275.99,3810.89,0,0,0.7302,1.22264,0,Cu,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ABEXEM_clean,4.82084,4.14331,4.80387,1.76082,968.791,550.193,3.54724,2.01454,0.494,0.280551,0,La,Yes,La,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ABEXEN_clean,18.8079,13.71867,18.7996,0.674371,1650.25,2447.09,10.9626,16.2561,0.753,1.1166,0,In,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ABEXIQ_clean,4.80529,4.06893,4.80529,1.7876,954.695,534.065,11.1491,6.2369,0.4776,0.267174,0,Ce,Yes,Ce,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ABEXOW_clean,4.7727,4.04921,4.7549,1.81243,948.305,523.222,8.72645,4.81477,0.5026,0.277307,0,Pr,Yes,Pr,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ABEXUC_clean,4.74458,4.0168,4.72731,1.84813,905.952,490.198,6.39745,3.46157,0.4864,0.263185,0,Nd,Yes,Nd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ABEYAJ_clean,4.73097,3.9715,4.71386,1.90641,913.695,479.276,5.68199,2.98047,0.4682,0.245593,0,Sm,Yes,Sm,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ABEYEN_clean,4.70447,3.94356,4.68752,1.9293,894.021,463.392,4.63057,2.40013,0.4642,0.240606,0,Eu,Yes,Eu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ABEYIR_clean,4.69665,3.92183,4.69665,1.96962,879.845,446.707,3.91969,1.99007,0.464,0.235578,0,Gd,Yes,Gd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ABIXOZ_clean,6.22728,4.0515,6.20206,1.91751,1873.93,977.272,0,0,0.5866,0.305918,0,"Mo,Co",Yes,"Mo,Co",clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ABIYIV_clean,4.33176,3.82431,4.32093,1.34661,564.007,418.836,0,0,0.4458,0.331055,0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ABULOB_clean,4.86958,4.16445,4.86236,1.31921,1184.81,898.121,0,0,0.5364,0.406607,0,Be,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ABUWOJ_clean,5.07969,4.03039,4.98773,1.15833,1745.23,1506.68,0,0,0.621,0.536118,0,Zn,Yes,Zn,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
14356,ac403674p_si_001_clean,8.50423,8.27985,8.50423,1.12072,1220.76,1089.26,0,0,0.5906,0.526983,0,Zn,No, ,clean,Y,N,Y,,Y,APUVIS,Y,08/05/2013,10.1021/ac403674p,"1 SI, 1 Structure",APUVIS,,,,,,,,,,,,,,,,,,,,,
25,ACAJIY_clean,4.94766,3.4178,4.77873,1.0939,822.742,752.116,0,0,0.5292,0.483772,0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ACAJIZ_clean,6.1865,5.74044,6.1865,1.30148,981.157,753.879,0,0,0.4824,0.370656,0,Cu,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ACAJOF_clean,6.86398,6.10482,6.86398,1.21871,1121.27,920.046,0,0,0.513,0.420936,0,Cu,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ACAKUM_clean,4.47083,3.0099,4.47083,1.59028,0,0,599.344,376.88,0.4358,0.27404,0,La,Yes,La,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ACALIB_clean,3.96462,2.41854,3.93898,1.78668,0,0,258.645,144.762,0.4128,0.231043,0,Er,Yes,Er,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ACECIV_ion_b,3.5991,2.94934,3.57968,2.60195,0,0,21.213,8.15274,0.2312,0.0888565,0,"Pb,K",Yes,"Pb,K",ion_b,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ACIBIY_clean,5.10081,3.73403,5.09695,1.73515,912.456,525.866,0,0,0.4594,0.264761,0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ACIBOE_clean,8.25776,7.03071,8.25776,1.10094,2063.01,1873.86,0,0,0.6554,0.595309,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ACOCOM_clean,24.60642,13.0343,24.60642,0.349927,1537.41,4393.52,0,0,0.863,2.46623,0,Cu,Yes,Cu,clean,Y,Y,Y,DISORDER,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,ACOCUS_clean,24.38417,13.22222,24.38417,0.346494,1518.48,4382.42,0,0,0.8644,2.49471,0,Zn,Yes,Zn,clean,Y,Y,Y,DISORDER,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ACODAZ_clean,23.29182,13.11646,23.29182,0.343144,1530.83,4461.21,0,0,0.8618,2.51148,0,Co,Yes,Co,clean,Y,Y,Y,DISORDER,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ACODON_clean,7.1439,4.65537,7.12384,1.14924,1729.7,1505.09,0,0,0.598,0.520346,0,Tb,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,ACODUT_clean,5.4607,3.36863,5.4607,1.51914,446.079,293.64,0,0,0.4404,0.289902,0,Yb,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ACOGAB_clean,5.20085,3.89327,4.84433,1.15458,1432.82,1240.99,0,0,0.5566,0.482082,0,Cd,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ACOGEF_clean,5.20115,3.94888,4.8971,1.25952,1433.77,1138.35,0,0,0.5544,0.440168,0,Cd,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,ACOLEL_clean,4.00255,2.78217,3.89811,1.45481,0,0,32.9393,22.6416,0.354,0.24333,0,Mn,Yes,Mn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
